DICO,NUTSI_DSG,NUTSI_COD,NUTSII_DSG,NUTSII_COD,NUTSIII_DSG,NUTSIII_COD,DISTRITO_ILHA_DSG,CONCELHO_DSG,nutsi_norm,nutsii_norm,nutsiii_norm,municipality_norm,region_norm,district_norm,MunicipalityCode,location_context,block_key,avg_rent_m2,avg_str_density,population_density,avg_price,count_listings,price_per_listing
402,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,BRAGANÇA,continente,norte,terras de tras-os-montes,braganca,terras de tras-os-montes,braganca,0402,braganca braganca,brag,3.19,22.95,30.2,172651.76589595375,346.0,498.99354305188945
403,CONTINENTE,1,NORTE,11,DOURO,11D,BRAGANÇA,CARRAZEDA DE ANSIÃES,continente,norte,douro,carrazeda de ansiaes,douro,braganca,0403,carrazeda de ansiaes braganca,carr,5.597142857142857,23.313333333333333,19.3,78478.26086956522,23.0,3412.0982986767485
404,CONTINENTE,1,NORTE,11,DOURO,11D,BRAGANÇA,FREIXO DE ESPADA À CINTA,continente,norte,douro,freixo de espada a cinta,douro,braganca,0404,freixo de espada a cinta braganca,frei,5.597142857142857,12.059999999999999,12.9,302916.6666666667,12.0,25243.05555555556
405,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,MACEDO DE CAVALEIROS,continente,norte,terras de tras-os-montes,macedo de cavaleiros,terras de tras-os-montes,braganca,0405,macedo de cavaleiros braganca,mace,2.94,22.161290322580644,20.4,155941.39784946237,186.0,838.3946120938838
406,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,MIRANDA DO DOURO,continente,norte,terras de tras-os-montes,miranda do douro,terras de tras-os-montes,braganca,0406,miranda do douro braganca,mira,5.597142857142857,11.614285714285714,12.9,109269.23076923077,39.0,2801.775147928994
407,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,MIRANDELA,continente,norte,terras de tras-os-montes,mirandela,terras de tras-os-montes,braganca,0407,mirandela braganca,mira,5.325,20.783870967741933,32.5,191346.7105263158,76.0,2517.7198753462603
408,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,MOGADOURO,continente,norte,terras de tras-os-montes,mogadouro,terras de tras-os-montes,braganca,0408,mogadouro braganca,moga,5.21,8.386363636363637,10.8,162953.48837209304,43.0,3789.6160086533264
409,CONTINENTE,1,NORTE,11,DOURO,11D,BRAGANÇA,TORRE DE MONCORVO,continente,norte,douro,torre de moncorvo,douro,braganca,0409,torre de moncorvo braganca,torr,9.56,15.214285714285714,12.7,152500.0,67.0,2276.1194029850744
410,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,VILA FLOR,continente,norte,terras de tras-os-montes,vila flor,terras de tras-os-montes,braganca,0410,vila flor braganca,vila,5.215,19.4,22.7,249857.14285714287,21.0,11897.95918367347
411,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,VIMIOSO,continente,norte,terras de tras-os-montes,vimioso,terras de tras-os-montes,braganca,0411,vimioso braganca,vimi,5.597142857142857,11.018181818181818,8.7,124666.66666666667,27.0,4617.283950617284
