MunicipalityCode,RentValueMean,Municipality,Municipality_norm
1815,,SÃO JOÃO DA PESQUEIRA,sao joao da pesqueira
1816,5.08,SÃO PEDRO DO SUL,sao pedro do sul
1817,2.78,SÁTÃO,satao
1818,,SERNANCELHE,sernancelhe
1819,,TABUAÇO,tabuaco
1820,,TAROUCA,tarouca
1821,4.39,TONDELA,tondela
1822,,VILA NOVA DE PAIVA,vila nova de paiva
1823,5.33,VISEU,viseu
1824,3.6,VOUZELA,vouzela
3101,5.46,CALHETA,calheta
3102,5.75,CÂMARA DE LOBOS,camara de lobos
3103,9.78,FUNCHAL,funchal
3104,5.23,MACHICO,machico
3105,,PONTA DO SOL,ponta do sol
3106,,PORTO MONIZ,porto moniz
3107,,RIBEIRA BRAVA,ribeira brava
3108,8.04,SANTA CRUZ,santa cruz
3109,,SANTANA,santana
3110,,SÃO VICENTE,sao vicente
3201,,PORTO SANTO,porto santo
4101,,VILA DO PORTO,vila do porto
4201,4.56,LAGOA,lagoa
4202,,NORDESTE,nordeste
4203,5.75,PONTA DELGADA,ponta delgada
4204,,POVOAÇÃO,povoacao
4205,3.83,RIBEIRA GRANDE,ribeira grande
4206,,VILA FRANCA DO CAMPO,vila franca do campo
4301,4.49,ANGRA DO HEROÍSMO,angra do heroismo
4302,5.59,PRAIA DA VITÓRIA,praia da vitoria
4401,,SANTA CRUZ DA GRACIOSA,santa cruz da graciosa
4501,,CALHETA DE SÃO JORGE,calheta de sao jorge
4502,4.06,VELAS,velas
4601,,LAJES DO PICO,lajes do pico
4602,,MADALENA,madalena
4603,,SÃO ROQUE DO PICO,sao roque do pico
4701,4.07,HORTA,horta
4801,,LAJES DAS FLORES,lajes das flores
4802,,SANTA CRUZ DAS FLORES,santa cruz das flores
4901,,CORVO,corvo
