MunicipalityCode,Municipality,Municipality_norm,Region,Region_norm
1821,TONDELA,tondela,VISEU DÃO LAFÕES,viseu dao lafoes
1822,VILA NOVA DE PAIVA,vila nova de paiva,VISEU DÃO LAFÕES,viseu dao lafoes
1823,VISEU,viseu,VISEU DÃO LAFÕES,viseu dao lafoes
1824,VOUZELA,vouzela,VISEU DÃO LAFÕES,viseu dao lafoes
3101,CALHETA,calheta,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3102,CÂMARA DE LOBOS,camara de lobos,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3103,FUNCHAL,funchal,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3104,MACHICO,machico,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3105,PONTA DO SOL,ponta do sol,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3106,PORTO MONIZ,porto moniz,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3107,RIBEIRA BRAVA,ribeira brava,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3108,SANTA CRUZ,santa cruz,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3109,SANTANA,santana,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3110,SÃO VICENTE,sao vicente,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
3201,PORTO SANTO,porto santo,REGIÃO AUTÓNOMA DA MADEIRA,regiao autonoma da madeira
4101,VILA DO PORTO,vila do porto,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4201,LAGOA,lagoa,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4202,NORDESTE,nordeste,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4203,PONTA DELGADA,ponta delgada,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4204,POVOAÇÃO,povoacao,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4205,RIBEIRA GRANDE,ribeira grande,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4206,VILA FRANCA DO CAMPO,vila franca do campo,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4301,ANGRA DO HEROÍSMO,angra do heroismo,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4302,PRAIA DA VITÓRIA,praia da vitoria,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4401,SANTA CRUZ DA GRACIOSA,santa cruz da graciosa,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4501,CALHETA DE SÃO JORGE,calheta de sao jorge,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4502,VELAS,velas,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4601,LAJES DO PICO,lajes do pico,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4602,MADALENA,madalena,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4603,SÃO ROQUE DO PICO,sao roque do pico,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4701,HORTA,horta,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4801,LAJES DAS FLORES,lajes das flores,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4802,SANTA CRUZ DAS FLORES,santa cruz das flores,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
4901,CORVO,corvo,REGIÃO AUTÓNOMA DOS AÇORES,regiao autonoma dos acores
