MunicipalityCode,Municipality,Municipality_norm,DensityPopMean
1501,ALCÁCER DO SAL,alcacer do sal,7.4
1502,ALCOCHETE,alcochete,156.6
1503,ALMADA,almada,2588.7
1504,BARREIRO,barreiro,2197.5
1505,GRÂNDOLA,grandola,17.2
1506,MOITA,moita,1247.7
1507,MONTIJO,montijo,169.8
1508,PALMELA,palmela,156.8
1509,SANTIAGO DO CACÉM,santiago do cacem,26.7
1510,SEIXAL,seixal,1814.2
1511,SESIMBRA,sesimbra,283.6
1512,SETÚBAL,setubal,536.4
1513,SINES,sines,72.7
1601,ARCOS DE VALDEVEZ,arcos de valdevez,46.6
1602,CAMINHA,caminha,120.4
1603,MELGAÇO,melgaco,31.9
1604,MONÇÃO,moncao,85.3
1605,PAREDES DE COURA,paredes de coura,63.0
1606,PONTE DA BARCA,ponte da barca,61.4
1607,PONTE DE LIMA,ponte de lima,128.4
1608,VALENÇA,valenca,120.9
1609,VIANA DO CASTELO,viana do castelo,272.0
1610,VILA NOVA DE CERVEIRA,vila nova de cerveira,86.0
1701,ALIJÓ,alijo,34.7
1702,BOTICAS,boticas,15.2
1703,CHAVES,chaves,63.3
1704,MESÃO FRIO,mesao frio,130.8
1705,MONDIM DE BASTO,mondim de basto,37.2
1706,MONTALEGRE,montalegre,11.4
1707,MURÇA,murca,27.8
1708,PESO DA RÉGUA,peso da regua,151.8
1709,RIBEIRA DE PENA,ribeira de pena,27.0
1710,SABROSA,sabrosa,35.9
1711,SANTA MARTA DE PENAGUIÃO,santa marta de penaguiao,86.4
1712,VALPAÇOS,valpacos,26.6
1713,VILA POUCA DE AGUIAR,vila pouca de aguiar,26.9
1714,VILA REAL,vila real,131.8
1801,ARMAMAR,armamar,48.2
1802,CARREGAL DO SAL,carregal do sal,78.5
1803,CASTRO DAIRE,castro daire,36.2
1804,CINFÃES,cinfaes,72.8
1805,LAMEGO,lamego,145.9
1806,MANGUALDE,mangualde,84.8
1807,MOIMENTA DA BEIRA,moimenta da beira,44.2
1808,MORTÁGUA,mortagua,36.1
1809,NELAS,nelas,106.0
1810,OLIVEIRA DE FRADES,oliveira de frades,67.2
1811,PENALVA DO CASTELO,penalva do castelo,54.7
1812,PENEDONO,penedono,21.0
1813,RESENDE,resende,79.1
1814,SANTA COMBA DÃO,santa comba dao,97.6
1815,SÃO JOÃO DA PESQUEIRA,sao joao da pesqueira,25.4
1816,SÃO PEDRO DO SUL,sao pedro do sul,43.6
1817,SÁTÃO,satao,55.2
1818,SERNANCELHE,sernancelhe,25.3
1819,TABUAÇO,tabuaco,37.7
1820,TAROUCA,tarouca,76.1
1821,TONDELA,tondela,69.6
1822,VILA NOVA DE PAIVA,vila nova de paiva,27.1
1823,VISEU,viseu,201.1
1824,VOUZELA,vouzela,50.4
3101,CALHETA,calheta,100.1
3102,CÂMARA DE LOBOS,camara de lobos,628.4
3103,FUNCHAL,funchal,1411.2
3104,MACHICO,machico,287.1
3105,PONTA DO SOL,ponta do sol,188.3
3106,PORTO MONIZ,porto moniz,30.5
3107,RIBEIRA BRAVA,ribeira brava,199.8
3108,SANTA CRUZ,santa cruz,543.3
3109,SANTANA,santana,68.0
3110,SÃO VICENTE,sao vicente,63.1
3201,PORTO SANTO,porto santo,130.3
4101,VILA DO PORTO,vila do porto,56.8
4201,LAGOA,lagoa,327.3
4202,NORDESTE,nordeste,43.7
4203,PONTA DELGADA,ponta delgada,295.1
4204,POVOAÇÃO,povoacao,55.1
4205,RIBEIRA GRANDE,ribeira grande,179.2
4206,VILA FRANCA DO CAMPO,vila franca do campo,133.4
4301,ANGRA DO HEROÍSMO,angra do heroismo,141.4
4302,PRAIA DA VITÓRIA,praia da vitoria,122.4
4401,SANTA CRUZ DA GRACIOSA,santa cruz da graciosa,67.6
4501,CALHETA DE SÃO JORGE,calheta de sao jorge,27.7
4502,VELAS,velas,42.2
4601,LAJES DO PICO,lajes do pico,28.3
4602,MADALENA,madalena,44.4
4603,SÃO ROQUE DO PICO,sao roque do pico,24.0
4701,HORTA,horta,83.6
4801,LAJES DAS FLORES,lajes das flores,20.6
4802,SANTA CRUZ DAS FLORES,santa cruz das flores,29.6
4901,CORVO,corvo,25.4
